Gene name,Gene stable ID,Transcript stable ID
n-R5s105,ENSMUSG00000095966,ENSMUST00000178499
n-R5s134,ENSMUSG00000096015,ENSMUST00000178983
n-R5s136,ENSMUSG00000096037,ENSMUST00000179080
n-R5s211,ENSMUSG00000096047,ENSMUST00000093689
n-R5s125,ENSMUSG00000096092,ENSMUST00000179377
n-R5s119,ENSMUSG00000096132,ENSMUST00000178861
n-R5s146,ENSMUSG00000096170,ENSMUST00000177889
n-R5s93,ENSMUSG00000096219,ENSMUST00000180091
n-R5s104,ENSMUSG00000096307,ENSMUST00000179107
n-R5s108,ENSMUSG00000096335,ENSMUST00000177575
n-R5s133,ENSMUSG00000096343,ENSMUST00000179275
n-R5s131,ENSMUSG00000096358,ENSMUST00000180280
n-R5s107,ENSMUSG00000096367,ENSMUST00000179704
n-R5s114,ENSMUSG00000096599,ENSMUST00000178297
n-R5s102,ENSMUSG00000096613,ENSMUST00000101990
n-R5s117,ENSMUSG00000096710,ENSMUST00000179431
n-R5s144,ENSMUSG00000096765,ENSMUST00000178859
n-R5s130,ENSMUSG00000096785,ENSMUST00000178128
n-R5s120,ENSMUSG00000096855,ENSMUST00000180000
